spacegroup/cage,sym_type_1,sym_axis_1,sym_axis_1D(D_only),origin_1,sym_type_2,sym_axis_2,sym_axis_2D(D_only),origin_2,dihedral,offset,shift(angle_0_only)
P4/mcc,C2h,"0,0,1","0,0,1","-0.5,0,0",D4,"0,0,1","1,0,0","0,0,0.25",0,0.5,0.25
Cccm,C2h,"0,0,1","0,0,1","-0.25,0.25,0",D2,"0,0,1","0,1,0","0,0.5,0.25",0,0.353553,0.25
P6/mmm,C2v,"0.866025,-0.5,0","0.5,0.866025,0",0.433013,D6h,"0,0,1","0,0,1","0,0,0",90,0.683013,0
F-43m,C2v,"0,0,1","0.707107,0.707107,0","-0.25,-0.25,0",C3v,"0.57735,-0.57735,0.57735","0.707107,0.707107,0","0,0,0",54.7356,0.353553,0
Pm-3m,C2v,"0,0.707107,0.707107","1,0,0","-0.5,0,0",C4v,"0,0,1","1,0,0","0,0,0",45,0.5,0
Pm-3m,C2v,"0.707107,0.707107,0","-0.707107,0.707107,0",0,D2h,"1,0,0","1,0,0","0,0.5,-0.5",45,1,0
Pm-3m,C2v,"1,0,0","0,1,0",0,D6d,"0.57735,0.57735,0.57735","-0.707107,0.707107,0","0,0,0",54.7356,0.353553,0
Pm-3m,C2v,"-0.707107,0.707107,0","0.707107,0.707107,0",0,D2h,"-0.707107,0,0.707107","-0.707107,0,0.707107","0,0,1",60,0.288675,0
Pm-3m,C2v,"0,0.707107,0.707107","0,-0.707107,0.707107",0,D4d,"0,1,0","0,0,1","0,0,0",45,0.5,0
Pm-3m,C2v,"0,-0.707107,0.707107","1,0,0",0,D6d,"-0.57735,-0.57735,0.57735","-0.707107,0.707107,0","0.166667,0.166667,-0.166667",35.2644,0.707107,0
Pm-3m,C2v,"0,-0.707107,0.707107","0,0.707107,0.707107",0,D4h,"0,1,0","0,1,0","0,0,0",45,0.5,0
Pn-3m:2,C2v,"1,0,0","0,0.707107,0.707107",0,D2,"-0.707107,0,0.707107","0.707107,0,0.707107","0.75,0.5,0.25",45,0.25,0
Fm-3m,C2v,"0,0,1","-0.707107,0.707107,0","-0.25,0.25,0",C4h,"1,0,0","1,0,0","0.5,0,0",90,0.25,0
Fm-3m,C2v,"0.707107,0.707107,0","-0.707107,0.707107,0","-0.25,0.25,0.5",C2v,"1,0,0","0,-0.707107,0.707107","0,0.25,0.25",45,0.25,0
Fm-3m,C2v,"0.707107,0.707107,0","-0.707107,0.707107,0",0,D6d,"-0.57735,0.57735,0.57735","0.707107,0.707107,0","0,0,0",90,0.204124,0
Fm-3m,C2v,"0,0,1","-0.707107,0.707107,0","0.25,-0.25,0",D4h,"1,0,0","1,0,0","0.5,0,0",90,0.25,0
Fm-3m,C2v,"0,1,0","-0.707107,0,0.707107",0,D2h,"1,0,0","1,0,0","-0.5,0,-0.5",90,0.25,0
P-6m2,C2v,"0.866025,-0.5,0","0.5,0.866025,0",0,D3,"0,0,1","0.866025,-0.5,0","0,0,0.5",90,0.683013,0
F-43m,C2v,"0,0,1","-0.707107,0.707107,0","0.5,0,0",C2v,"0,1,0","-0.707107,0,0.707107","0.25,0,0.25",90,0.25,0
F-43m,C2v,"0,0,1","-0.707107,0.707107,0",0,D4d,"0,1,0","-0.707107,0,0.707107","0,0.25,0",90,0.25,0
Pm-3m,C2v,"-0.707107,0.707107,0","0,0,1","0,0,-0.5",C2v,"0.707107,0,0.707107","0,1,0","0,0,0",60,0.288675,0
Pm-3m,C2v,"0,0,1","-0.707107,0.707107,0",0.25,D4,"0,1,0","0,0,1","0,0.5,0",90,0.5,0
P6/mmm,C2v,"0,1,0","1,0,0","0,0,0.5",D2h,"-0.5,0.866025,0","-0.5,0.866025,0","0,-0.5,0",30,0.5,0
P6/mmm,C2v,"0.866025,-0.5,0","0.5,0.866025,0",0.5,D6,"0,0,1","0.866025,-0.5,0","0,0,0",90,0.683013,0
P6/mmm,C2v,"0.866025,-0.5,0","0.5,0.866025,0",0.433013,C6h,"0,0,1","0,0,1","0,0,0",90,0.683013,0
Fm-3m,C2v,"0,0,1","-0.707107,0.707107,0","-0.25,0.25,0",C4v,"0,1,0","0,0,1","0,0,0",90,0.25,0
P-6m2,C2v,"0.866025,-0.5,0","0.5,0.866025,0",0.5,D3h,"0,0,1","0,0,1","0,0,-0.5",90,0.683013,0
Pm-3,C3,"0.57735,0.57735,0.57735",-,0,C2h,"0,0,1","0,0,1","0.5,0,0.5",54.7356,0.353553,0
P432,C3,"0.57735,0.57735,0.57735",-,"0,0,0",D4,"0,0,1","1,0,0","0,0,0.5",54.7356,0,0
F-43m,C3,"0.57735,0.57735,0.57735",-,"0,0,0",C2v,"0,1,0","-0.707107,0,0.707107","-0.25,0,0.25",54.7356,0.353553,0
Fm-3m,C3,"0.57735,0.57735,0.57735",-,0.176777,C2h,"0.707107,0.707107,0","0.707107,0.707107,0","-0.25,-0.75,-0.5",35.2644,0.353553,0
Fm-3m,C3,"-0.57735,0.57735,0.57735",-,0.204124,D2h,"0,-0.707107,0.707107","0,-0.707107,0.707107","0,0.25,0.75",90,0.408248,0
Fm-3m,C3,"0.57735,-0.57735,0.57735",-,0,D2h,"0,-0.707107,0.707107","0,-0.707107,0.707107","0.5,0.25,0.25",35.2644,0.353553,0
Fm-3m,C3,"0.57735,-0.57735,0.57735",-,"0,0,0",C2v,"0,0.707107,0.707107","0,-0.707107,0.707107","0,-0.25,0.25",90,0.204124,0
Fm-3m,C3,"-0.57735,-0.57735,0.57735",-,"0,0,0",C2v,"-0.707107,0,0.707107","0.707107,0,0.707107","-0.25,0,-0.25",35.2644,0.353553,0
Fm-3c,C3,"-0.57735,0.57735,0.57735",-,"0,0,0",D4d,"1,0,0","0,0,1","0.125,0,0",54.7356,0,0
P23,C3,"-0.57735,-0.57735,0.57735",-,0,D2,"0,0,1","0,1,0","-0.5,0,-0.5",54.7356,0.353553,0
P4232,C3,"0.57735,-0.57735,0.57735",-,0.204124,D2,"0,0.707107,0.707107","0,-0.707107,0.707107","-0.25,-0.5,0",90,0.408248,0
Pm-3m,C3,"0.57735,0.57735,0.57735",-,"0,0,0",D4h,"0,0,1","0,0,1","0,0,-0.5",54.7356,0,0
Pm-3,C3,"0.57735,0.57735,0.57735",-,"0,0,0",D2h,"0,1,0","0,1,0","0.5,0,0.5",54.7356,0,0
F432,C3,"0.57735,0.57735,0.57735",-,0.176777,D2,"0,0.707107,0.707107","1,0,0","0.5,0.5,0",35.2644,0.353553,0
Fm-3m,C3,"-0.57735,0.57735,0.57735",-,"0,0,0",D2h,"1,0,0","1,0,0","-0.5,-0.25,0.25",54.7356,0.353553,0
F4132,C3,"-0.57735,-0.57735,0.57735",-,"0,0,0",D3,"0.57735,0.57735,0.57735","-0.707107,0,0.707107","0.125,0.125,0.125",70.5288,0,0
F23,C3,"-0.57735,0.57735,0.57735",-,"0.166667,-0.166667,0.333333",T,"-0.57735,0.57735,0.57735",-,"-0.5,0,-0.5",0,1.08012,0
F23,C3,"-0.57735,0.57735,0.57735",-,"0.166667,-0.166667,0.333333",T,"0.57735,0.57735,0.57735",-,"0,0,0",70.5288,0.353553,-
F23,C3,"-0.57735,0.57735,0.57735",-,"0.166667,-0.166667,0.333333",T,"0.57735,-0.57735,0.57735",-,"0,0,0",70.5288,0,-
F23,C3,"0.57735,0.57735,0.57735",-,"0.333333,-0.166667,-0.166667",T,"0.57735,0.57735,0.57735",-,"0,0,0",0,0.408248,0
F23,C3,"0.57735,-0.57735,0.57735",-,"0,0,0",T,"0.57735,-0.57735,0.57735",-,"0,-0.5,-0.5",0,0.707107,0
F23,C3,"0.57735,-0.57735,0.57735",-,"0.166667,0.333333,0.166667",T,"-0.57735,0.57735,0.57735",-,"-0.5,-0.5,0",70.5288,1.06066,-
F23,C3,"0.57735,0.57735,0.57735",-,"-0.5,0,0.5",T,"0.57735,-0.57735,0.57735",-,"0,0,0",70.5288,0.707107,-
F4132,C3,"-0.57735,0.57735,0.57735",-,"0.166667,0.333333,-0.166667",D3,"0,0.707107,0.707107","-0.57735,-0.57735,0.57735","-0.125,0.375,0.125",35.2644,0.176777,-
F4132,C3,"-0.57735,0.57735,0.57735",-,"0.166667,0.333333,-0.166667",D3,"0.707107,0,0.707107","-0.57735,-0.57735,0.57735","0.375,-0.125,-0.375",90,0.204124,-
F4132,C3,"-0.57735,-0.57735,0.57735",-,"-0.5,0.5,0",D3,"0.707107,0,0.707107","-0.57735,0.57735,0.57735","0.125,-0.125,0.375",90,6.12E-01,-
F432,C3,"-0.57735,0.57735,0.57735",-,"0,-0.5,0.5",C4,"0,1,0",-,"0,0,0",54.7356,3.54E-01,-
F432,C3,"-0.57735,0.57735,0.57735",-,"0,-0.5,0.5",D2,"0,0.707107,0.707107","0,-0.707107,0.707107","-0.5,0,0.5",54.7356,0.353553,-
F432,C3,"-0.57735,0.57735,0.57735",-,"0,-0.5,0.5",D2,"0,0.707107,0.707107","1,0,0","0,0.25,0.25",90,2.04E-01,-
F432,C3,"-0.57735,0.57735,0.57735",-,"0,-0.5,0.5",D2,"0.707107,0,0.707107","0,1,0","0.25,-0.5,0.25",35.2644,0,-
F432,C3,"-0.57735,0.57735,0.57735",-,"0,-0.5,0.5",D2,"0,0.707107,0.707107","0,-0.707107,0.707107","-0.5,-0.25,0.75",54.7356,0,-
F432,C3,"0.57735,0.57735,0.57735",-,"-0.333333,-0.333333,0.666667",D2,"0,-0.707107,0.707107","1,0,0","-0.5,-0.25,-0.25",35.2644,0.707107,-
F432,C3,"-0.57735,0.57735,0.57735",-,"0,-0.5,0.5",D3,"-0.707107,0.707107,0","0.57735,0.57735,0.57735","0,-0.5,0",35.2644,0,-
F432,C3,"-0.57735,0.57735,0.57735",-,"0,-0.5,0.5",D3,"0,-0.707107,0.707107","0.57735,0.57735,0.57735","-0.5,-0.5,0",90,0.612372,-
F432,C3,"-0.57735,0.57735,0.57735",-,"-0.666667,-0.333333,-0.333333",D3,"0.707107,0,0.707107","-0.57735,-0.57735,0.57735","0,-0.5,0.5",90,0.204124,-
F432,C3,"0.57735,0.57735,0.57735",-,"0,-0.5,0.5",D3,"0.707107,0.707107,0","0.57735,-0.57735,0.57735","0,0,0",35.2644,0.353553,-
F432,C3,"0.57735,0.57735,0.57735",-,"-0.5,0.5,0",D3,"0,0.707107,0.707107","-0.57735,-0.57735,0.57735","-0.5,0,0.5",35.2644,0.707107,-
F432,C3,"-0.57735,0.57735,0.57735",-,"0,-0.5,0.5",D4,"-0.707107,0,0.707107","0,1,0","0,0,0",35.2644,0.353553,-
F432,C3,"-0.57735,0.57735,0.57735",-,"0,-0.5,0.5",D4,"0.707107,0,0.707107","0,1,0","-0.5,0,0.5",90,0.204124,-
F432,C3,"0.57735,-0.57735,0.57735",-,"0.166667,0.333333,0.166667",D4,"-0.707107,0.707107,0","0,0,1","-0.5,-0.5,0",35.2644,1.06066,-
F432,C3,"-0.57735,0.57735,0.57735",-,"0,-0.5,0.5",O,"-0.57735,0.57735,0.57735",-,"-0.5,-0.5,0",0,0.707107,0
F432,C3,"-0.57735,0.57735,0.57735",-,"0,-0.5,0.5",O,"0.57735,0.57735,0.57735",-,"0,0,0",70.5288,0.707107,-
F432,C3,"-0.57735,0.57735,0.57735",-,"-0.666667,-0.333333,-0.333333",O,"-0.57735,0.57735,0.57735",-,"-0.5,0,-0.5",0,0.408248,0
F432,C3,"-0.57735,0.57735,0.57735",-,"-0.666667,-0.333333,-0.333333",O,"0.57735,-0.57735,0.57735",-,"0,-0.5,-0.5",70.5288,0.353553,-
F432,C3,"0.57735,-0.57735,0.57735",-,"0.166667,0.333333,0.166667",O,"-0.57735,0.57735,0.57735",-,"-0.5,-0.5,0",70.5288,1.06066,-
F432,C3,"0.57735,-0.57735,0.57735",-,"0.166667,0.333333,0.166667",O,"0.57735,-0.57735,0.57735",-,"0,-0.5,-0.5",0,1.08012,0
F432,C3,"0.57735,-0.57735,0.57735",-,"0.166667,0.333333,0.166667",O,"0.57735,0.57735,0.57735",-,"0,0,0",70.5288,0,-
I213,C3,"0.57735,0.57735,0.57735",-,"-0.333333,-0.333333,0.666667",C2,"1,0,0",-,"0,-0.5,0.25",54.7356,0.176777,-
I4132,C3,"0.57735,0.57735,0.57735",-,"-0.333333,-0.333333,0.666667",D2,"-0.707107,0.707107,0","0,0,1","0,-0.25,-0.125",35.2644,0.176777,-
I4132,C3,"0.57735,0.57735,0.57735",-,"-0.333333,-0.333333,0.666667",D2,"-0.707107,0,0.707107","0.707107,0,0.707107","-0.75,-0.375,0",54.7356,0.176777,-
I4132,C3,"0.57735,0.57735,0.57735",-,"-0.333333,-0.333333,0.666667",D2,"0,0,1","0.707107,0.707107,0","-0.5,-0.25,0.125",90,0.408248,-
I4132,C3,"-0.57735,-0.57735,0.57735",-,"-0.166667,0.333333,0.166667",D2,"0,-0.707107,0.707107","1,0,0","-0.375,0,0.25",90,0,-
P213,C3,"0.57735,-0.57735,0.57735",-,"-0.333333,-0.166667,0.166667",C3,"-0.57735,0.57735,0.57735",-,"-0.166667,0.166667,-0.333333",70.5288,0.353553,-
P23,C3,"0.57735,0.57735,0.57735",-,"-0.333333,-0.333333,0.666667",D2,"0,0,1","0,1,0","-0.5,-0.5,0",54.7356,0.353553,-
P23,C3,"0.57735,0.57735,0.57735",-,"-0.333333,-0.333333,0.666667",D2,"0,1,0","1,0,0","-0.5,-0.5,0",54.7356,0.00E+00,-
P4132,C3,"-0.57735,0.57735,0.57735",-,"-0.5,-0.5,0",C2,"0,0.707107,0.707107",-,"-0.375,-0.125,0.125",35.2644,0.176777,-
P4132,C3,"-0.57735,0.57735,0.57735",-,"-0.5,-0.5,0",D3,"-0.707107,0,0.707107","0.57735,-0.57735,0.57735","-0.375,-0.125,0.125",35.2644,0.176777,-
P4132,C3,"-0.57735,0.57735,0.57735",-,"-0.5,-0.5,0",D3,"0.707107,0.707107,0","0.57735,-0.57735,0.57735","0.125,0.375,-0.375",90,0.408248,-
P4132,C3,"-0.57735,-0.57735,0.57735",-,"0.166667,-0.333333,-0.166667",D3,"-0.707107,0.707107,0","0.57735,0.57735,0.57735","-0.125,-0.125,-0.125",90,2.08E-17,-
P4132,C3,"-0.57735,0.57735,0.57735",-,"0.166667,-0.166667,0.333333",D3,"0.707107,0.707107,0","0.57735,-0.57735,0.57735","0.125,0.375,-0.375",90,0.816497,-
P4232,C3,"0.57735,-0.57735,0.57735",-,"0,0,0",D2,"-0.707107,0.707107,0","0.707107,0.707107,0","0,-0.5,-0.25",54.7356,0.353553,-
P4232,C3,"0.57735,-0.57735,0.57735",-,"0,0,0",D2,"-0.707107,0.707107,0","0,0,1","0,-0.5,-0.25",90,0.408248,-
P4232,C3,"0.57735,-0.57735,0.57735",-,"0,0,0",D2,"-0.707107,0,0.707107","0,1,0","-0.5,-0.25,0",35.2644,0.353553,-
P432,C3,"0.57735,-0.57735,0.57735",-,"0,0,0",D4,"1,0,0","0,0,1","0,0,-0.5",54.7356,0.353553,-
P432,C3,"0.57735,-0.57735,0.57735",-,"0,0,0",D4,"-0.707107,0.707107,0","0,0,1","-0.5,-0.5,0",35.2644,0.707107,-
P432,C3,"0.57735,0.57735,0.57735",-,"0,0,0",D4,"-0.707107,0.707107,0","0,0,1","-0.5,-0.5,0",90,0.408248,-
P432,C3,"0.57735,-0.57735,0.57735",-,"-0.666667,-0.333333,0.333333",D4,"-0.707107,0.707107,0","0,0,1","-0.5,-0.5,0",35.2644,0,-
P432,C3,"-0.57735,0.57735,0.57735",-,"-0.333333,-0.666667,0.333333",D4,"0,-0.707107,0.707107","1,0,0","0,-0.5,-0.5",90,0,-
P4332,C3,"-0.57735,-0.57735,0.57735",-,"-0.166667,0.333333,0.166667",C2,"0,-0.707107,0.707107",-,"0.125,0.125,0.125",35.2644,0.176777,-
P4332,C3,"-0.57735,-0.57735,0.57735",-,"-0.166667,0.333333,0.166667",D3,"-0.707107,0.707107,0","0.57735,0.57735,0.57735","0.125,0.125,0.125",90,0,-
P4332,C3,"-0.57735,-0.57735,0.57735",-,"-0.166667,0.333333,0.166667",D3,"0.707107,0.707107,0","-0.57735,0.57735,0.57735","-0.375,0.375,-0.125",35.2644,0.176777,-
P4332,C3,"-0.57735,0.57735,0.57735",-,"0.166667,-0.166667,0.333333",D3,"0.707107,0.707107,0","0.57735,-0.57735,0.57735","0.375,0.125,-0.125",90,0.408248,-
P4332,C3,"0.57735,-0.57735,0.57735",-,"0,-0.5,-0.5",D3,"0.707107,0.707107,0","-0.57735,0.57735,0.57735","-0.375,0.375,-0.125",90,0.816497,-
Pm-3m,C3v,"0.57735,0.57735,0.57735","-0.707107,0.707107,0","0,0,0",D4h,"0,0,1","0,0,1","0,0,0.5",54.7356,0,0
Fm-3m,C3v,"0.57735,-0.57735,0.57735","0.707107,0.707107,0","0,0,0",C2v,"-0.707107,0.707107,0","0.707107,0.707107,0","0.25,0.25,0.5",35.2644,0.353553,0
Fm-3m,C3v,"-0.57735,-0.57735,0.57735","-0.707107,0.707107,0","0,0,0",D2h,"-0.707107,0.707107,0","-0.707107,0.707107,0","-0.25,0.25,0",90,0,0
Fm-3m,C3v,"0.57735,-0.57735,0.57735","0.707107,0.707107,0","0,0,0",D2h,"-0.707107,0.707107,0","-0.707107,0.707107,0","0.25,-0.25,0",35.2644,0,0
Fm-3m,C3v,"0.57735,0.57735,0.57735","-0.707107,0.707107,0","0,0,0",D2h,"0,0.707107,0.707107","0,0.707107,0.707107","0,-0.75,-0.25",35.2644,0.353553,0
Fm-3m,C3v,"-0.57735,-0.57735,0.57735","-0.707107,0.707107,0","0,0,0",D2h,"-0.707107,0.707107,0","-0.707107,0.707107,0","0,0.5,0",90,0.204124,0
Fm-3m,C3v,"-0.57735,0.57735,0.57735","0.707107,0.707107,0",0,D2h,"0,1,0","0,1,0","0.5,-0.5,0",54.7356,0.353553,0
Fm-3m,C3v,"-0.57735,0.57735,0.57735","0.707107,0.707107,0","0,0,0",C2v,"0,-0.707107,0.707107","1,0,0","0,0.25,0.25",90,0.204124,0
Pm-3m,C3v,"0.57735,-0.57735,0.57735","0.707107,0.707107,0","0,0,0",D4d,"0,1,0","0,0,1","0,0.25,0",54.7356,0,0
Pm-3m,C3v,"-0.57735,-0.57735,0.57735","-0.707107,0.707107,0","0,0,0",C4h,"0,1,0","0,1,0","0,0.5,0",54.7356,0,0
P432,C4,"0,0,1",-,0.25,D2,"0.707107,0,0.707107","0,1,0","-0.5,0.5,0.5",45,0.5,0
Pm-3m,C4,"0,0,1",-,0,D2h,"0,0.707107,0.707107","0,0.707107,0.707107","-0.5,-1,0",45,0.5,0
Fm-3m,C4,"0,0,1",-,0.25,C2h,"-0.707107,0,0.707107","-0.707107,0,0.707107","-0.25,0.5,0.75",45,0.5,0
Fm-3m,C4,"0,0,1",-,"0,0,0",D2h,"0,1,0","0,1,0","0.25,-0.5,0.25",90,0.25,0
F432,C4,"0,0,1",-,0,D2,"0,1,0","-0.707107,0,0.707107","-0.25,-0.5,-0.25",90,0.25,0
Pm-3m,C4,"0,0,1",-,"0,0,0",C2v,"0,0.707107,0.707107","0,-0.707107,0.707107","0.5,0,0",45,0.5,0
Pm-3m,C4,"1,0,0",-,"0,0,0",D4h,"0,1,0","0,1,0","0,0.5,0",90,0,0
Im-3m,C4,"0,0,1",-,"0,0,0",D6d,"0.57735,-0.57735,0.57735","0.707107,0.707107,0","-0.0833333,0.0833333,-0.0833333",54.7356,0,0
Fm-3m,C4,"0,1,0",-,"0,0,0",C2v,"1,0,0","0,-0.707107,0.707107","0,0.25,-0.25",90,0.25,0
Pm-3m,C4,"0,0,1",-,"0,0,0",D4d,"0,1,0","-0.707107,0,0.707107","0,0.25,0",90,0,0
I432,C4,"0,1,0",-,"0,0,0",D3,"-0.57735,-0.57735,0.57735","-0.707107,0.707107,0","-0.25,-0.25,0.25",54.7356,0,0
P432,C4,"0,1,0",-,"0,0,0",D4,"1,0,0","0,0,1","-0.5,0,0",90,0,0
F432,C4,"0,0,1",-,"0,-0.5,0",C3,"-0.57735,0.57735,0.57735",-,"-0.166667,0.166667,-0.333333",54.7356,0.353553,-
F432,C4,"0,0,1",-,"0,-0.5,0",D2,"0,-0.707107,0.707107","0,0.707107,0.707107","-0.5,-0.75,-0.25",90,0.25,-
F432,C4,"0,0,1",-,"0,-0.5,0",D2,"0,-0.707107,0.707107","1,0,0","-0.5,-0.25,-0.25",45,0.5,-
F432,C4,"0,0,1",-,"0,-0.5,0",D2,"-0.707107,0,0.707107","0,1,0","-0.25,-0.5,-0.25",45,0,-
F432,C4,"0,0,1",-,"0,-0.5,0",D3,"-0.707107,0.707107,0","-0.57735,-0.57735,0.57735","-0.5,-0.5,0",90,0.353553,-
F432,C4,"0,0,1",-,"0,-0.5,0",D3,"0,-0.707107,0.707107","-0.57735,0.57735,0.57735","-0.5,0.5,0",45,0.5,-
F432,C4,"0,0,1",-,"0,-0.5,0",D3,"-0.707107,0,0.707107","0.57735,-0.57735,0.57735","-0.5,-0.5,-0.5",45,0,-
F432,C4,"0,0,1",-,"0,-0.5,0",O,"-0.57735,0.57735,0.57735",-,"-0.5,-0.5,0",54.7356,0.353553,-
I432,C4,"0,0,1",-,"0,0,0",C2,"0,0.707107,0.707107",-,"-0.25,-0.25,0.25",45,0.25,-
I432,C4,"0,0,1",-,"0,0,0",D2,"0,-0.707107,0.707107","0,0.707107,0.707107","-0.25,-0.5,0",90,0.5,-
I432,C4,"0,0,1",-,"0,0,0",D2,"0,-0.707107,0.707107","0,0.707107,0.707107","-0.25,0,-0.5",90,0,-
I432,C4,"0,0,1",-,"0,0,0",D2,"0,-0.707107,0.707107","1,0,0","-0.25,-0.5,0",45,2.50E-01,-
I432,C4,"0,0,1",-,"0,0,0",D3,"-0.707107,0.707107,0","-0.57735,-0.57735,0.57735","0.25,0.25,-0.25",90,3.54E-01,-
I432,C4,"0,1,0",-,"-0.5,0,0.5",D3,"0.707107,0.707107,0","-0.57735,0.57735,0.57735","-0.25,0.25,0.25",45,0.25,-
P432,C4,"0,0,1",-,"0,0,0",C4,"0,1,0",-,"-0.5,0,0.5",90,5.00E-01,-
P432,C4,"1,0,0",-,"0,-0.5,-0.5",D2,"-0.707107,0.707107,0","0.707107,0.707107,0","-1,0,0",90,0.5,-
P432,C4,"0,0,1",-,"0,0,0",D2,"-0.707107,0,0.707107","0,1,0","-0.5,-0.5,-0.5",45,5.00E-01,-
P432,C4,"1,0,0",-,"0,-0.5,-0.5",D3,"-0.707107,0.707107,0","-0.57735,-0.57735,0.57735","0,0,0",45,0.5,-
P432,C4,"0,0,1",-,"-0.5,-0.5,0",D3,"0.707107,0.707107,0","-0.57735,0.57735,0.57735","0,0,0",90,0,-
P432,C4,"1,0,0",-,"0,-0.5,-0.5",D4,"1,0,0","0,0,1","0,0,-0.5",0,0.5,0
P432,C4,"1,0,0",-,"0,-0.5,-0.5",D4,"0.707107,0.707107,0","0,0,1","0,0,0",45,0.5,-
P432,C4,"1,0,0",-,"0,-0.5,-0.5",D4,"0,0,1","0,1,0","0,-0.5,0",90,0,-
P432,C4,"1,0,0",-,"0,-0.5,-0.5",D4,"0,0,1","0,1,0","-0.5,0,0.5",90,0.5,-
P432,C4,"0,0,1",-,"0,0,0",D4,"0,-0.707107,0.707107","1,0,0","0,-0.5,-0.5",45,0,-
P432,C4,"0,1,0",-,"-0.5,0,0.5",D4,"1,0,0","0,0,1","0,0,-0.5",90,1,-
P432,C4,"1,0,0",-,"0,-0.5,-0.5",O,"0.57735,0.57735,0.57735",-,"0,0,0",54.7356,0,-
P432,C4,"0,1,0",-,"-0.5,0,0.5",O,"0.57735,0.57735,0.57735",-,"0,0,0",54.7356,0.707107,-
P4/mmm,C4h,"0,0,1","0,0,1","0,0,0",D2h,"1,0,0","1,0,0","-0.5,0,-0.5",90,0,0
P4/mbm,C4h,"0,0,1","0,0,1",0.25,D2h,"0.707107,0.707107,0","0.707107,0.707107,0","-0.5,0,0",90,0.353553,0
Pm-3m,C4h,"1,0,0","1,0,0","-0.5,0,0",D2h,"-0.707107,0.707107,0","-0.707107,0.707107,0","-0.5,0.5,0",45,0,0
Pm-3m,C4h,"0,0,1","0,0,1","0,0,-0.5",D4d,"1,0,0","0,0.707107,0.707107","0.25,0,0",90,0,0
Pm-3m,C4h,"0,0,1","0,0,1",0,C2v,"0.707107,0,0.707107","0,1,0","0.5,0.5,-0.5",45,0.5,0
Pm-3m,C4h,"0,1,0","0,1,0","0,0.5,0",D2h,"0,0.707107,0.707107","0,0.707107,0.707107","-0.5,0,-1",45,0.5,0
I4/mmm,C4h,"0,0,1","0,0,1",0,C2h,"-0.707107,0.707107,0","-0.707107,0.707107,0","0.75,-0.25,0.25",90,0.353553,0
P4/m,C4h,"0,0,1","0,0,1","0,0,-0.5",C2h,"0,0,1","0,0,1","0,0.5,0",0,0.5,0.5
Pm-3m,C4h,"0,0,1","0,0,1","0,0,0",C4h,"0,1,0","0,1,0","0,0.5,0",90,0,0
Pm-3m,C4h,"0,0,1","0,0,1","0,0,0",D4h,"1,0,0","1,0,0","0.5,0,0",90,0,0
P4/mmm,C4h,"0,0,1","0,0,1","0,0,0",D2h,"0,0,1","0,0,1","0,0.5,-0.5",0,0.5,-0.5
Pm-3m,C4h,"1,0,0","1,0,0","-0.5,0,0",C4v,"0,0,1","1,0,0","0,0,0",90,0,0
Pm-3m,C4v,"0,0,1","1,0,0",0.25,D2h,"0,1,0","0,1,0","0.5,-0.5,0.5",90,0.5,0
Pm-3m,C4v,"1,0,0","0,0,1",0,D2h,"-0.707107,0,0.707107","-0.707107,0,0.707107","0,0.5,1",45,0.5,0
Im-3m,C4v,"0,0,1","1,0,0","0,0,0",D3,"0.57735,0.57735,0.57735","-0.707107,0.707107,0","0.25,0.25,0.25",54.7356,0,0
Pm-3m,C4v,"1,0,0","0,0,1","0,0,0",D4h,"0,1,0","0,1,0","0,-0.5,0",90,0,0
P6/mmm,C6h,"0,0,1","0,0,1",0,C2h,"0.866025,0.5,0","0.866025,0.5,0","-0.216506,0.375,0",90,0.433013,0
P6/mmm,C6h,"0,0,1","0,0,1",0.5,D2h,"0.5,0.866025,0","0.5,0.866025,0","-1,0,0",90,0.866025,0
P6/mcc,C6h,"0,0,1","0,0,1","0,0,0",D2,"0,0,1","1,0,0","0.5,0,0.25",0,0.5,0.25
P6/mmm,C6h,"0,0,1","0,0,1","0,0,-0.5",D2h,"0,0,1","0,0,1","0.5,0,0",0,0.5,0.5
P6/m,Ci,-,-,"0.5,0,0",C6h,"0,0,1","0,0,1","0,0,0.5",0,0.5,0.5
R-3:H,Ci,-,-,"-0.166667,0.166667,0.166667",S6,"0,0,1",-,"0,0,0",0,0.235702,-0.166667
P6/mmm,Ci,-,-,"-0.5,0,0",D6h,"0,0,1","0,0,1","0,0,-0.5",0,0.5,-0.5
P6/mcc,Ci,-,-,"0.5,0,0",D6,"0,0,1","0.866025,-0.5,0","0,0,0.25",0,0.5,0.25
P-3m1,Ci,-,-,0.5,D6d,"0,0,1","0.5,0.866025,0","0,0,0.166667",0,0.707107,0.166667
I4/mmm,Ci,-,-,"0.25,-0.25,-0.25",D4h,"0,0,1","0,0,1","0,0,0",0,0.353553,0.25
I4/m,Ci,-,-,"0.25,-0.25,-0.25",C4h,"0,0,1","0,0,1","0,0,0",0,0.353553,0.25
Fddd:2,Ci,-,-,"0,0,0",D2,"0,1,0","0,0,1","-0.125,-0.125,-0.125",0,0.176777,-0.125
P63/mmc,Ci,-,-,0.5,D3h,"0,0,1","0,0,1","0,0,-0.25",0,0.707107,-0.25
R-3c:H,Ci,-,-,"0.166667,-0.166667,0.333333",D3,"0,0,1","0.5,0.866025,0","0,0,0.25",0,0.235702,-0.0833333
