spacegroup/cage,sym_type_1,sym_axis_1,sym_axis_1D(D_only),origin_1,sym_type_2,sym_axis_2,sym_axis_2D(D_only),origin_2,dihedral,offset,shift(angle_0_only)
F4132,C2,"1,0,0",-,"0,0.25,-0.25",D3,"0,0.707107,0.707107","-0.57735,-0.57735,0.57735","-0.125,0.375,-0.375",90,0.176777,-
F4132,C2,"0,0.707107,0.707107",-,"0.375,0.125,-0.125",T,"-0.57735,0.57735,0.57735",-,"-0.5,0,-0.5",35.2644,0.176777,-
F4132,C2,"0,0.707107,0.707107",-,"0.375,0.125,-0.125",T,"0.57735,-0.57735,0.57735",-,"0,-0.5,-0.5",90,0.408248,-
F4132,C2,"-0.707107,0,0.707107",-,"0.375,-0.375,0.375",T,"0.57735,-0.57735,0.57735",-,"-0.5,-0.5,0",90,6.12E-01,-
F4132,C2,"-0.707107,0,0.707107",-,"-0.375,-0.375,-0.375",T,"0.57735,-0.57735,0.57735",-,"0,-0.5,-0.5",90,0,-
F4132,C2,"0,0.707107,0.707107",-,"0.375,-0.125,0.125",T,"0.57735,-0.57735,0.57735",-,"0,0,0",90,2.04E-01,-
F4132,C2,"-0.707107,0.707107,0",-,"0.375,0.375,-0.375",T,"-0.57735,0.57735,0.57735",-,"-0.5,0,-0.5",35.2644,0.883883,-
F4132,C2,"0,0.707107,0.707107",-,"0.375,0.375,-0.375",T,"0.57735,-0.57735,0.57735",-,"-0.5,-0.5,0",90,1.22474,-
F4132,C2,"0,-0.707107,0.707107",-,"0.125,0.375,0.375",T,"0.57735,-0.57735,0.57735",-,"0,0,0",35.2644,5.30E-01,-
F4132,C2,"-0.707107,0,0.707107",-,"0.375,0.125,0.375",T,"-0.57735,0.57735,0.57735",-,"-0.5,0,-0.5",35.2644,1.23744,-
F432,C2,"-0.707107,0,0.707107",-,"0.25,0,0.25",O,"0.57735,0.57735,0.57735",-,"0,0,0",90,0.204124,-
F432,C2,"0,0.707107,0.707107",-,"-0.5,-0.25,0.25",O,"0.57735,0.57735,0.57735",-,"0,0,0",35.2644,0.353553,-
F432,C2,"0,0,1",-,"0.25,0.25,0",O,"-0.57735,0.57735,0.57735",-,"-0.5,0,-0.5",54.7356,0.707107,-
F432,C2,"0,0,1",-,"0.25,0.25,0",O,"0.57735,0.57735,0.57735",-,"0,0,0",54.7356,0,-
F432,C2,"0,0,1",-,"-0.25,-0.25,0",O,"-0.57735,0.57735,0.57735",-,"-0.5,-0.5,0",54.7356,0.353553,-
F432,C2,"0.707107,0,0.707107",-,"-0.25,-0.5,0.25",O,"-0.57735,0.57735,0.57735",-,"-0.5,0,-0.5",90,0.612372,-
F432,C2,"0.707107,0,0.707107",-,"-0.5,0,0.5",O,"0.57735,-0.57735,0.57735",-,"0,-0.5,-0.5",35.2644,1.06E+00,-
H32,C2,"1,0,0",-,"-0.166667,-0.333333,0.166667",D3,"0.5,0.866025,0","0,0,1","0,0,0",60,0.166667,-
H32,C2,"0.5,0.866025,0",-,"-0.166667,0.166667,0.166667",D3,"0.5,0.866025,0","0,0,1","0,0,0",0,0.282156,-0.0610042
H32,C2,"1,0,0",-,"0,0,0",D3,"1,0,0","0,0,1","0.333333,-0.333333,0.166667",0,0.372678,0.333333
H32,C2,"-0.5,0.866025,0",-,"0,0,0",D3,"-0.5,0.866025,0","0,0,1","-0.333333,0.333333,-0.166667",0,0.206552,0.455342
I213,C2,"0,0,1",-,"0,-0.25,0",C3,"-0.57735,0.57735,0.57735",-,"0.166667,-0.166667,0.333333",54.7356,0.176777,-
I4122,C2,"1,0,0",-,"0,-0.25,-0.375",D2,"-0.707107,0.707107,0","0,0,1","-0.5,-0.5,-0.5",45,0.125,-
I4122,C2,"1,0,0",-,"0,-0.25,-0.375",D2,"-0.707107,0.707107,0","0.707107,0.707107,0","-1,0,-0.5",90,0.25,-
I4132,C2,"0,-0.707107,0.707107",-,"-0.375,0.125,0.125",D2,"-0.707107,0,0.707107","0,1,0","-0.25,0.375,0",60,0,-
I4132,C2,"0,-0.707107,0.707107",-,"-0.375,0.125,0.125",D2,"-0.707107,0.707107,0","0.707107,0.707107,0","-0.5,-0.25,-0.375",45,0.125,-
I4132,C2,"0,-0.707107,0.707107",-,"-0.125,0.375,0.375",D2,"-0.707107,0.707107,0","0,0,1","-0.5,0.25,0.375",60,0.144338,-
I4132,C2,"0,-0.707107,0.707107",-,"-0.375,0.125,0.125",D3,"-0.707107,0.707107,0","-0.57735,-0.57735,0.57735","0.125,-0.375,-0.125",60,0.144338,-
I4132,C2,"0,-0.707107,0.707107",-,"-0.375,0.125,0.125",D3,"0,0.707107,0.707107","-0.57735,-0.57735,0.57735","-0.375,0.125,0.375",90,0,-
I4132,C2,"0.707107,0,0.707107",-,"-0.125,0.375,0.125",D3,"-0.707107,0,0.707107","0.57735,-0.57735,0.57735","-0.375,-0.125,0.125",90,0.5,-
I4132,C2,"0,-0.707107,0.707107",-,"-0.125,0.375,0.375",D3,"0.707107,0.707107,0","0.57735,-0.57735,0.57735","0.375,0.125,-0.125",60,0.721688,-
I4132,C2,"0,1,0",-,"-0.25,0,0",D3,"0,0.707107,0.707107","-0.57735,-0.57735,0.57735","-0.375,0.125,0.375",45,0.125,-
I4132,C2,"1,0,0",-,"0,-0.5,-0.25",D3,"0,0.707107,0.707107","0.57735,-0.57735,0.57735","-0.125,-0.375,0.375",90,0.353553,-
I4132,C2,"-0.707107,0.707107,0",-,"-0.375,-0.375,-0.375",D3,"-0.707107,0,0.707107","0.57735,-0.57735,0.57735","-0.375,-0.125,0.125",60,0.433013,-
I422,C2,"0.707107,0.707107,0",-,"0.25,-0.25,-0.25",D4,"-0.707107,0.707107,0","0,0,1","-0.5,-0.5,-0.5",90,2.50E-01,-
I422,C2,"0.707107,0.707107,0",-,"0.25,-0.25,-0.25",D4,"1,0,0","0,0,1","0,0,-0.5",45,0.25,-
I422,C2,"-0.707107,0.707107,0",-,"-0.25,-0.25,0.25",D4,"-0.707107,0.707107,0","0,0,1","-0.5,-0.5,0",0,0.433013,0
I432,C2,"-0.707107,0,0.707107",-,"-0.25,-0.25,-0.25",C4,"0,0,1",-,"0,0,0",45,0.25,-
I432,C2,"-0.707107,0,0.707107",-,"-0.25,-0.25,-0.25",D2,"-0.707107,0.707107,0","0.707107,0.707107,0","-1,0,0",45,0.25,-
I432,C2,"0,-0.707107,0.707107",-,"-0.25,-0.25,-0.25",D2,"0,1,0","0.707107,0,0.707107","-0.5,0,-0.5",60,0.144338,-
I432,C2,"-0.707107,0,0.707107",-,"-0.5,-0.5,-0.5",D2,"-0.707107,0.707107,0","0.707107,0.707107,0","-0.5,0,-0.25",45,0.5,-
I432,C2,"-0.707107,0.707107,0",-,"-0.5,-0.5,0",D2,"0,-0.707107,0.707107","0,0.707107,0.707107","-0.25,-0.5,0",45,0,-
I432,C2,"-0.707107,0,0.707107",-,"-0.25,-0.25,-0.25",D3,"0.707107,0.707107,0","-0.57735,0.57735,0.57735","0,0,0",60,0.144338,-
I432,C2,"0.707107,0,0.707107",-,"-0.25,-0.25,0.25",D3,"-0.707107,0,0.707107","0.57735,-0.57735,0.57735","-0.5,-0.5,-0.5",90,0.25,-
I432,C2,"-0.707107,0,0.707107",-,"-0.5,-0.5,-0.5",D3,"0.707107,0.707107,0","-0.57735,0.57735,0.57735","0.25,-0.25,-0.25",60,0.433013,-
I432,C2,"-0.707107,0.707107,0",-,"-0.25,-0.25,0.25",D3,"0,-0.707107,0.707107","-0.57735,0.57735,0.57735","-0.5,-0.5,-0.5",60,0.721688,-
I432,C2,"0.707107,0,0.707107",-,"-0.25,0.25,0.25",D3,"-0.707107,0,0.707107","0.57735,-0.57735,0.57735","-0.5,-0.5,-0.5",90,0.75,-
I432,C2,"-0.707107,0,0.707107",-,"-0.25,-0.25,-0.25",D4,"0,0.707107,0.707107","1,0,0","0,0,0",60,0.144338,-
I432,C2,"-0.707107,0,0.707107",-,"-0.25,-0.25,-0.25",D4,"1,0,0","0,0,1","0,0,-0.5",45,0.25,-
I432,C2,"0,-0.707107,0.707107",-,"-0.25,-0.25,-0.25",D4,"1,0,0","0,0,1","0,0,-0.5",90,0,-
I432,C2,"0,0.707107,0.707107",-,"-0.25,-0.25,0.25",D4,"1,0,0","0,0,1","0,0,-0.5",90,7.07E-01,-
I432,C2,"0,0.707107,0.707107",-,"-0.25,0.25,-0.25",D4,"-0.707107,0.707107,0","0,0,1","-0.5,-0.5,-0.5",60,0.433013,-
I432,C2,"-0.707107,0,0.707107",-,"-0.25,-0.25,-0.25",O,"0.57735,0.57735,0.57735",-,"0,0,0",90,0,-
I432,C2,"0.707107,0,0.707107",-,"-0.25,-0.25,0.25",O,"0.57735,0.57735,0.57735",-,"0,0,0",35.2644,0.353553,-
I432,C2,"-0.707107,0.707107,0",-,"-0.25,-0.25,0.25",O,"0.57735,0.57735,0.57735",-,"0,0,0",90,0.408248,-
P23,C2,"0,1,0",-,"-0.5,0,0",T,"0.57735,0.57735,0.57735",-,"0,0,0",54.7356,0.353553,-
P4132,C2,"0,-0.707107,0.707107",-,"-0.125,-0.125,-0.125",C3,"-0.57735,-0.57735,0.57735",-,"-0.5,0,-0.5",35.2644,0.176777,-
P4132,C2,"0,-0.707107,0.707107",-,"-0.125,-0.125,-0.125",D3,"-0.707107,0.707107,0","-0.57735,-0.57735,0.57735","0.125,-0.375,-0.125",60,0,-
P4132,C2,"-0.707107,0.707107,0",-,"-0.125,-0.125,-0.125",D3,"0.707107,0.707107,0","0.57735,-0.57735,0.57735","0.125,0.375,-0.375",90,0.25,-
P4132,C2,"0.707107,0,0.707107",-,"-0.375,-0.375,0.375",D3,"-0.707107,0.707107,0","0.57735,0.57735,0.57735","-0.125,-0.125,-0.125",60,5.77E-01,-
P4132,C2,"0.707107,0,0.707107",-,"-0.375,0.125,0.375",D3,"-0.707107,0.707107,0","0.57735,0.57735,0.57735","-0.125,-0.125,-0.125",60,0.288675,-
P4132,C2,"-0.707107,0.707107,0",-,"0.375,0.375,0.375",D3,"0.707107,0.707107,0","0.57735,-0.57735,0.57735","0.125,0.375,-0.375",90,7.50E-01,-
P432,C2,"0,1,0",-,"0,0,-0.5",D3,"-0.707107,0.707107,0","-0.57735,-0.57735,0.57735","-0.5,-0.5,-0.5",45,0,-
P432,C2,"0,1,0",-,"0,0,-0.5",D3,"0,-0.707107,0.707107","-0.57735,0.57735,0.57735","-0.5,-0.5,-0.5",45,0.5,-
P432,C2,"0,1,0",-,"0,0,-0.5",D3,"-0.707107,0,0.707107","0.57735,-0.57735,0.57735","-0.5,-0.5,-0.5",90,0.353553,-
P432,C2,"0.707107,0.707107,0",-,"0,0,0",D4,"0,0,1","0,1,0","0,-0.5,0",90,0.353553,-
P432,C2,"0.707107,0.707107,0",-,"0,0,0",D4,"0,-0.707107,0.707107","1,0,0","0,-0.5,-0.5",60,0.57735,-
P432,C2,"0.707107,0,0.707107",-,"0,-0.5,0",D4,"1,0,0","0,0,1","0,0,-0.5",45,5.00E-01,-
P432,C2,"0.707107,0,0.707107",-,"0,-0.5,0",D4,"0,-0.707107,0.707107","1,0,0","0,-0.5,-0.5",60,2.89E-01,-
P432,C2,"0,0.707107,0.707107",-,"0,0,0",D4,"0,0,1","0,1,0","0,-0.5,0",45,0.00E+00,-
P432,C2,"0,0.707107,0.707107",-,"0,-0.5,0.5",D4,"-0.707107,0.707107,0","0,0,1","-0.5,-0.5,0",60,1.28E-16,-
P432,C2,"0,0.707107,0.707107",-,"-0.5,-0.5,0.5",D4,"1,0,0","0,0,1","0,0,-0.5",90,1.06066,-
P432,C2,"0.707107,0,0.707107",-,"-0.5,0,0.5",D4,"0,-0.707107,0.707107","1,0,0","0,-0.5,-0.5",60,1.1547,-
P432,C2,"0,1,0",-,"0,0,-0.5",O,"0.57735,0.57735,0.57735",-,"0,0,0",54.7356,0.353553,-
P432,C2,"0.707107,0,0.707107",-,"0,-0.5,0",O,"0.57735,0.57735,0.57735",-,"0,0,0",35.2644,0,-
P432,C2,"-0.707107,0.707107,0",-,"0,0,-0.5",O,"0.57735,0.57735,0.57735",-,"0,0,0",90,0.408248,-
P4332,C2,"0,-0.707107,0.707107",-,"-0.375,0.125,0.125",C3,"0.57735,-0.57735,0.57735",-,"0.333333,0.166667,-0.166667",35.2644,0.176777,-
P4332,C2,"0,-0.707107,0.707107",-,"-0.375,0.125,0.125",D3,"0,0.707107,0.707107","-0.57735,-0.57735,0.57735","-0.125,0.375,0.125",90,0.25,-
